"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jul 03 01:25:05 ICT 2024","Wed Jul 03 01:25:05 ICT 2024","316","Surefire suite","Surefire test","Tests.ModelTest","Tests.ModelTest","getListModelDefault","getListModelDefault",""
"broken","Wed Jul 03 01:25:03 ICT 2024","Wed Jul 03 01:25:03 ICT 2024","1","Surefire suite","Surefire test","Tests.BrandTest","Tests.BrandTest","createBrand","createBrand",""
"failed","Wed Jul 03 01:25:02 ICT 2024","Wed Jul 03 01:25:03 ICT 2024","835","Surefire suite","Surefire test","Tests.ProductLineTest","Tests.ProductLineTest","updateProductLine","updateProductLine",""
"failed","Wed Jul 03 01:25:03 ICT 2024","Wed Jul 03 01:25:04 ICT 2024","566","Surefire suite","Surefire test","Tests.BrandTest","Tests.BrandTest","deleteBrand","deleteBrand",""
"failed","Wed Jul 03 01:25:04 ICT 2024","Wed Jul 03 01:25:04 ICT 2024","569","Surefire suite","Surefire test","Tests.ModelTest","Tests.ModelTest","createModel","createModel",""
"failed","Wed Jul 03 01:25:02 ICT 2024","Wed Jul 03 01:25:02 ICT 2024","333","Surefire suite","Surefire test","Tests.ProductLineTest","Tests.ProductLineTest","getListProductLineDefault","getListProductLineDefault",""
"failed","Wed Jul 03 01:25:05 ICT 2024","Wed Jul 03 01:25:06 ICT 2024","356","Surefire suite","Surefire test","Tests.ModelTest","Tests.ModelTest","updateModel","updateModel",""
"failed","Wed Jul 03 01:25:04 ICT 2024","Wed Jul 03 01:25:05 ICT 2024","549","Surefire suite","Surefire test","Tests.ModelTest","Tests.ModelTest","deleteModel","deleteModel",""
"failed","Wed Jul 03 01:25:02 ICT 2024","Wed Jul 03 01:25:02 ICT 2024","252","Surefire suite","Surefire test","Tests.ProductLineTest","Tests.ProductLineTest","deleteProductLine","deleteProductLine",""
"broken","Wed Jul 03 01:25:04 ICT 2024","Wed Jul 03 01:25:04 ICT 2024","2","Surefire suite","Surefire test","Tests.BrandTest","Tests.BrandTest","getListBrandDefault","getListBrandDefault",""
"failed","Wed Jul 03 01:25:04 ICT 2024","Wed Jul 03 01:25:04 ICT 2024","284","Surefire suite","Surefire test","Tests.BrandTest","Tests.BrandTest","updateBrand","updateBrand",""
"failed","Wed Jul 03 01:25:00 ICT 2024","Wed Jul 03 01:25:01 ICT 2024","1707","Surefire suite","Surefire test","Tests.ProductLineTest","Tests.ProductLineTest","createProductLine","createProductLine",""
